标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
⭐⭐⭐⭐⭐客厅方正、朝南，满五年一套房子，诚心急售,东陆新村五街坊 ,2室1厅,71.31平米,南,6,2003,金桥,515,72
南北通2房，花园位置，业主诚意。,黄山始信苑 ,2室2厅,75.48平米,南,6,1999,金杨,650,86
店长推荐 金桥繁华地段 小区靠花园位置 采光好 无遮挡,金桥好人家 ,2室2厅,89.57平米,南,6,2001,金桥,615,68
飞机户型三房，采光通透，全明，近地铁,联鑫坊 ,3室2厅,88.57平米,南,6,1998,金桥,529,59
三林前滩+南北通两房+河景房+视野采光俱佳,三林世博家园(东书房路560弄) ,2室1厅,74.05平米,南 北,6,2006,杨思前滩,500,67
浦发罗兰翡丽 3室1厅 南 北,浦发罗兰翡丽 ,3室1厅,89.14平米,南 北,17,2017,唐镇,795,89
张江东高区南北通 中楼层边套采光好，屋况很好,保利金爵公寓 ,2室2厅,88.3平米,南,11,2009,唐镇,606,68
6/12双轨交通，全屋定制精装，今年八月满五，买进价高,伟业金锦苑一村 ,2室1厅,86.07平米,北 南,6,2003,金桥,558,64
06年品质小区，通透两房，陆家嘴滨江，价格空间小小,久阳滨江公寓 ,2室1厅,78.25平米,南,25,2006,陆家嘴,640,81
2+1户型，中间楼层，产权明晰，近商场刚需好房。,品华苑 ,2室1厅,76.28平米,南,6,2000,三林,540,70
精装自住大1房，高楼层景观房，低总价诚意出售,东南华庭 ,2室1厅,78.73平米,北,29,2004,塘桥,699,88
浦东内环品质两房 低总价 满五only one业主诚意出售,益达公寓 ,2室2厅,85.47平米,南,8,1995,洋泾,600,70
急！新！2011年印象春城三期靠西门中楼层40万新装修,印象春城 ,2室2厅,89.8平米,南,14,2011,周浦,550,61
诚意出售 + 三轨交通 + 配套齐全 + 刚需电梯,金杨公寓 ,2室1厅,87.11平米,西,24,1995,金杨,515,59
楼层略居中 交通便利 两室一厅 电梯房,东城新村 ,2室1厅,76.12平米,南,18,1999,杨东,590,77
板式户型，精装修，楼层好视野好。,新世纪花苑(二期)(浦东) ,2室1厅,74.87平米,南,6,未知,世博,670,89
总监力荐⭐⭐⭐⭐⭐一手动迁税少中高区景观房,东源名都 ,2室1厅,72.09平米,南 北,14,2011,高行,520,72
此房明年2月满五 地铁口 中间楼层 拎包入住 税少,东源名都 ,2室1厅,83.05平米,南,18,2007,高行,515,62
11号线三林东+总价低+电梯2房+南北通风+诚意出售,金禾新苑 ,2室2厅,77.46平米,南,11,2006,三林,648,83
精装修拎包入住，业主诚意出售，采光视野好,明天华城 ,2室1厅,89.88平米,南,18,2014,周浦,538,59
香楠99年精装修三房，中间楼层，1梯2户边套,香楠小区 ,3室1厅,81.29平米,南 北,6,1999,张江,560,68
金色中环 金桥和苑金桥次新小区 近地铁9号线,金桥和苑 ,2室2厅,88平米,南,10,2011,金桥,755,85
近地铁6号线 金桥新村四街坊 店长推荐 看房子方便,金桥新村四街坊 ,3室1厅,86.77平米,南,6,1998,金桥,590,67
金色杉林 临河位置 景观视野好 户型正气 满五年税少,杉林新月环林东路875弄 ,2室1厅,84.14平米,南 北,18,2006,三林,605,71
满五年中层精装两房稅少诚意出售,东靖苑 ,2室1厅,83.04平米,南,6,2001,高行,530,63
好房推荐：滴水湖一线湖景房 开发商精装交付 拎包入住,陆家嘴滴水涟岸一期 ,2室2厅,88.38平米,南,14,未知,临港新城,540,61
位置安静 南北全明户型 满五年仅一套 双地铁670米,始信北苑 ,2室2厅,79.25平米,南,6,2003,金杨,658,83
巨峰路站旁东陆新村五街坊，中间楼层，好位置诚意出售,东陆新村五街坊 ,2室1厅,77.85平米,南,6,2003,金桥,590,75
张江南 人车分流品质小区 18号地铁 360广场,绿地东上海三期 ,2室2厅,89.05平米,南,21,2014,周浦,620,69
中芯位置，满五为一  业主诚意出售，南北通透的户型,明丰花园 ,2室2厅,83.88平米,南 北,6,2003,三林,599,71
此房精装修+满五年+近地铁+南北通采光好+看房方便,翠竹苑 ,3室2厅,78平米,南 北,6,1997,三林,509,65
双南边套全明户型，格局方正，税费低，看房方便,光辉小区 ,2室1厅,79.16平米,南,16,未知,梅园,720,90
此房满五年，离世纪大道地铁口，只有几步之遥。,梅园四街坊 ,3室1厅,73.13平米,南,6,1988,梅园,800,109
花木板块+2/7/16/18/磁悬浮+一手动迁+双南户型,培花七村 ,2室1厅,80.54平米,南,6,1995,北蔡,505,62
+5+1、双地铁轨交、一梯两户、配套齐全,桃李家园 ,2室1厅,73.92平米,南,6,1998,杨思前滩,540,73
东力新村 2室2厅 南 北,东力新村 ,2室2厅,86.54平米,南 北,6,2003,高行,560,64
精装修，可以拎包入住，楼层好，业主诚意出售,浦发春晖新苑 ,3室2厅,88.61平米,南,15,2011,外高桥,535,60
赞证大双阳台配置，中层采光好。,证大家园(一期) ,2室2厅,89.2平米,南,5,2002,金桥,710,79
满五年家庭＋全明户型+单价低+适合居住+东方医院,金桥路530弄 ,2室1厅,78.05平米,南,6,1993,金杨,710,90
满五无房 视野开阔 南北户型 世界水域公园 双轨,联鑫坊 ,3室1厅,86.85平米,南,6,1998,金桥,538,61
有钥匙+一手动迁+远离高架+户型方正,新里城和合苑 ,2室2厅,71.01平米,南 北,6,1999,杨思前滩,500,70
御桥花园精装修电梯一改2户型，楼层采光好，拎包入住,御桥花园 ,2室1厅,81.78平米,东南,14,2005,御桥,540,66
东明苑 满五只有这一套 电梯中间楼层 电梯房,东明苑 ,2室1厅,80.82平米,南,24,1998,世博,520,64
金色中环带+前滩辐射区，店总力荐好房，全南户型,浦发御园 ,2室1厅,78.45平米,南,12,2013,三林,768,97
中间楼层正气两房户型好，同小区两房里面属于不错,花木苑 ,2室2厅,73.84平米,南,6,2000,花木,660,89
满5年，精装修，南北户型，距离地铁近，中间楼层,河滨城市花园 ,2室2厅,82.66平米,南,6,2006,曹路,500,60
张江南 三轨交汇 次新商品房 满五年 精装修 无遮挡,印象春城 ,2室1厅,89.65平米,南,15,2011,周浦,535,59
新上房源 神户型全朝南  有车位 看房方便 精装修,阳光城丽景湾PLUS ,2室2厅,88.76平米,南,18,2016,康桥,600,67
18号康桥站500米+视野好+可看陆家嘴三件套+万科物业,绿地康桥新苑 ,2室2厅,89.68平米,南 北,12,2004,康桥,545,60
蓝村路大两房，一梯两户，中间楼层，看房方便,金浦小区(塘桥) ,2室2厅,88.75平米,南,6,1997,塘桥,690,77
建平、一手动迁，位置安静，楼层好、诚意,黄山二村 ,2室1厅,74.39平米,南,6,1998,金杨,660,88
产权清晰，业主诚意，看房随时，户型方正,御桥馨华苑 ,2室2厅,78.15平米,南,6,2004,御桥,609,77
金色中环，阁楼两房，小区花园位置,吉利名苑 ,2室2厅,76.86平米,南 北,6,2009,杨思前滩,740,96
户型宝贵 近地铁 交通方便 楼层nice,品华苑 ,2室1厅,82.96平米,南 北,5,1999,三林,560,67
前滩三林+满五v壹+电梯两房+近地铁+配套齐全,品珍苑 ,2室1厅,89.04平米,南,18,2000,三林,590,66
贝尔高林设计的绿化 风雨连廊 次新小区,浦发罗兰翡丽 ,2室2厅,80.21平米,南,16,2017,唐镇,718,89
满五只有一套税费低，有产权车位，09年商品电梯房,和憬家园 ,2室1厅,88平米,南 北,8,2009,川沙,520,59
诚意出售，小区中间位置，中间楼层，看房随时，手慢无,绿茵苑(浦东) ,2室2厅,89.02平米,南 北,6,1998,杨思前滩,538,60
此房满五年税费少  精装看房随时，业主诚售,黄山始信苑 ,2室1厅,76.51平米,南,6,1999,金杨,730,95
陆家嘴边套高楼层精装修观景效果好  看三件套,久阳滨江公寓 ,1室1厅,70.77平米,南,25,2006,陆家嘴,590,83
精装修+地铁口+金色中环+诚意出售+价格能谈,博学家园 ,2室1厅,78.68平米,南 北,11,2010,杨思前滩,569,72
此房带电梯+商品房+品牌装修房子,保利金爵公寓 ,2室2厅,81.37平米,南,11,2009,唐镇,580,71
此房南北两房 带花园 花园大 采光好,大华锦绣华城(一街区) ,2室2厅,71.77平米,南 北,6,2008,北蔡,590,82
南北户型采光好，满五且一税费少,金杨新村四街坊 ,3室1厅,88.52平米,南,7,1994,金杨,590,66
杨思前滩+全屋智能精装+高区无遮挡+在家日光浴,吉利名苑 ,2室1厅,80.13平米,南,6,2009,杨思前滩,709,88
央座，电梯楼控，车库固定车位，婚房装修带地暖,铂庭俱进家园 ,2室1厅,87.68平米,南,20,2010,高行,599,68
2011年商品房+对别墅采光高+满五税少+诚意满满,中海御景熙岸(公寓) ,3室2厅,88.42平米,南,18,2011,三林,550,62
满五年V1无个税，电梯高区 双南精装大两房 ！,海光大楼 ,2室1厅,72.28平米,南,18,1990,洋泾,538,74
东园一村 3室1厅 南 北,东园一村 ,3室1厅,84.36平米,南 北,24,1989,陆家嘴,800,94
小区花园位置，此房地段佳 一梯两户  地铁近 随时能看,上泰花苑 ,2室1厅,80.01平米,南,6,1998,金杨,605,75
南北通 m五v一 采光视野好 近地铁 不靠路安静 楼层好,和合新村 ,2室1厅,72.88平米,南,5,2006,御桥,510,69
一首动迁，南北通户型，诚意出售！,东城新村 ,2室1厅,79.19平米,南,7,2000,杨东,619,78
店长推荐 近地铁 中楼层 近公园 环境好 空气优,牡丹路399弄 ,2室2厅,74.41平米,南 北,6,1996,花木,650,87
09年次新房，一手动迁，税费少，央座位置，9/12双地铁,阳光城市家园 ,2室2厅,83.17平米,南,16,2009,金桥,535,64
世纪大道地铁2469号线，精装修大三房可以拎包入住,市政大楼 ,3室1厅,86.23平米,南,18,1991,梅园,798,92
全明大三房+一楼带大院子+30万精装修+全屋落地窗+急售,黄山二村 ,3室1厅,83.02平米,南,6,1997,金杨,699,84
三林东地铁 南北板式两房 户型好 满五年税费低,杉林新月环林东路799弄 ,2室1厅,70.96平米,南 北,6,2004,三林,500,70
金桥板块，地铁，电梯，次新房， 户型好,金葵新城(西区) ,2室1厅,83.87平米,南,18,2012,金桥,545,64
精装修、满五年税费少、全明户型，世纪大道地铁口！,竹园高层 ,3室1厅,85.36平米,南,26,1991,源深,720,84
动迁一手满五税少+精装婚房带阁楼+近双轨地铁拎包入住,东陆新村五街坊 ,2室1厅,71.31平米,南,6,2003,金桥,534,74
商品房三房房型，地铁四百米非顶楼视野宽阔,济阳二村 ,3室1厅,72.69平米,南,6,1988,世博,510,70
精装，稀有在售户型，采光好，满五，诚意售，价格可谈,微山新村 ,2室2厅,71.38平米,南 北,6,1979,塘桥,508,71
高申北苑 2室2厅 南 北,高申北苑 ,2室2厅,85.59平米,南 北,18,2018,高行,520,60
新上| 沪都风景繁华地 百年难遇此室庐 陆家嘴滨江2室,滨江大楼 ,2室1厅,70.78平米,南,24,1997,陆家嘴,528,74
南北带花园，小区少有户型，诚意出售，满五近前滩,恒大华城东林苑 ,2室1厅,74.06平米,南 北,6,2002,杨思前滩,630,85
地铁口商品房 户型好 南北通 精装修,上泰花苑 ,2室1厅,81.84平米,南,6,1998,金杨,599,73
满五年，户型南北通，设计师装修风格，位置居中,证大家园(三期) ,2室2厅,88平米,南,6,2005,金桥,758,86
第四代国际居住社区 精装两房 品质小区 楼层上佳,浦发罗兰翡丽 ,2室2厅,79.97平米,南,18,2017,唐镇,780,97
急售！车位多，环境好，户型方正得房率高，前后无遮挡,三林世博家园(大道站路94弄) ,2室1厅,83.51平米,南,6,2006,杨思前滩,510,61
满五年，双南全明户型，顶楼复式，业主诚意出售,双秀北园 ,4室2厅,86.51平米,南,6,2003,康桥,560,64
地铁口 电梯两房 采光无遮挡 万科物业 南北通透商品房,绿地康桥新苑 ,2室2厅,87.27平米,南 北,14,2005,康桥,519,59
满五年v一 位置不靠路 视野开阔无遮挡,浦发罗兰翡丽 ,2室1厅,80.21平米,南,16,未知,唐镇,718,89
花木板块+2/7/16/18/磁悬浮+精装修+非顶楼+交通便利,芳草苑(浦东) ,2室1厅,82.54平米,南,6,1998,北蔡,605,73
金色中环+地铁口+一手动迁税费少+看房随时~,博学家园 ,2室2厅,82.19平米,南 北,11,2010,杨思前滩,650,79
金桥-电梯两房，双南户型，业主诚意出售,金葵新城(西区) ,2室2厅,83.67平米,南,18,2012,金桥,565,67
单价低，户型方正，非顶楼，准电梯房,金樟花苑 ,2室1厅,70.84平米,南,6,1994,金杨,528,74
低总价，小户型，看房方便，诚意出售,新世纪名苑 ,1室2厅,82.79平米,南 北,11,2002,金杨,795,96
近地铁 位置好安静 全南采光好 诚意出售 税费少,崮山小区二街坊 ,3室1厅,84.49平米,南,6,1999,洋泾,738,87
周浦万达旁  品质小区  飞机户型  次新小区  看房方便,阳光城丽景湾PLUS ,2室2厅,88.76平米,南 北,18,2016,康桥,615,69
高区全明户型  精装修 领包入住 无禾兑,云台二小区 ,2室1厅,72.55平米,东,24,1996,世博,500,68
陆家嘴板块，全明方正两室户，精装修,滨江大楼 ,2室1厅,80.37平米,西南,24,1997,陆家嘴,640,79
高楼层，小区中间位置，一梯两户，采光通风效果良好,新世纪花苑(三期)(浦东) ,2室2厅,89.96平米,南 北,6,2001,世博,720,80
商品房小区大两房，中间楼层老少皆宜业主十分诚意出售,南新苑 ,2室2厅,85.62平米,南 北,6,2001,北蔡,540,63
安静位置，采光好带阁楼，业主诚意出售，配套成熟,御桥花园 ,3室1厅,85.86平米,南,6,1996,御桥,583,67
全明边套，使用面积大，地理位置好,新世纪花苑(一期)(浦东) ,2室1厅,77.6平米,南,6,1996,世博,629,81
新上双南两房，中间楼层不靠路，业主自住精装修,金浜小区 ,2室1厅,78.44平米,南,6,1994,金杨,580,73
张江科学城成熟地段+一手动迁+全明户型+诚意出售,香楠小区 ,3室1厅,88.02平米,南,6,1995,张江,570,64
近地铁，正常层高复式，得房率高，南北露台,芳草苑(浦东) ,4室2厅,83.19平米,南,6,1998,北蔡,599,72
久阳滨江公寓 2室1厅 南 北,久阳滨江公寓 ,2室1厅,78.25平米,南 北,25,2006,陆家嘴,670,85
精装修交付，楼层好，次新小区，品质三房，看房随时,阳光城丽景湾PLUS ,2室2厅,88.76平米,南,18,2016,康桥,635,71
高行标杆社区，次新房 开窗见景尊享绿地品质,绿地崴廉公寓 ,2室2厅,88.57平米,南,14,2013,高行,598,67
原动迁，楼层好，位置好，税费低，三房朝南,金桥新村四街坊 ,3室1厅,86.72平米,南,6,1998,金桥,570,65
新出笋盘，近公园和地铁，带南北露台，实用面积大,花木鑫丰苑 ,2室2厅,78.79平米,南 北,6,2003,花木,799,101
张江双子塔旁 南北通户型 二房阁楼 地铁出行花园位置,川杨新苑(一期) ,2室2厅,75.14平米,南,6,2007,张江,508,67
满五无个税，精装修拎包，89＋25平大三房二卫,保利林语溪(公寓) ,3室2厅,89.22平米,南 北,18,2011,三林,680,76
次新花园洋房+精装修+拎包入住+得房率80,绿洲康城亲水湾风华 ,2室2厅,75.72平米,南,8,2022,御桥,650,85
建西单价7万，双南电梯房，中高楼层，采光无遮挡,梅园教师公寓 ,2室0厅,78.78平米,南,12,1987,梅园,598,75
南北户型近地铁，满五年税费少，有产权车位前后无遮挡,绿地东上海二期 ,2室2厅,88.04平米,南 北,14,2010,周浦,550,62
中环边次新房精装修电梯两房可以明年5月满五一套税少,绿洲康城亲水湾(中央区) ,2室2厅,74.73平米,东南,20,2019,御桥,530,70
全人车分流小区，经典三房带车位，诚售,中骏柏景湾 ,3室2厅,89.69平米,南 北,16,2017,康桥,690,76
"产权明晰，央座位置，看房随时，精装修保养,边套户型",永泰花苑 ,2室1厅,75.48平米,南,11,2004,三林,558,73
张江南标杆小区次新房南北户型 满五 层高3.3米！,九龙仓兰廷 ,3室2厅,89.52平米,南 北,18,2016,周浦,609,68
花木北蔡板块+龙阳路CBD+地铁2/7/16/18/磁悬浮满五年,芳华路268弄 ,3室1厅,80.48平米,南,6,1996,北蔡,500,62
张江科学城-原三房-满五-近2号线广兰路-置换-诚意售,香楠小区 ,3室1厅,81.81平米,南,6,1995,张江,500,61
品质标杆小区 近地铁 税费低 小区自带步行街 模范学笑,碧云新天地(一期) ,2室1厅,79.35平米,南,6,2002,金桥,666,83
低税费、价格好谈、不靠马路、诚心出售！,金樟花苑 ,2室1厅,72.59平米,南,6,1994,金杨,505,69
新达汇旁 精装修 闹中取静 满V为一 钥匙看房,古银杏苑 ,2室2厅,85.45平米,东南,12,1999,三林,568,66
御桥馨华苑 2室1厅 南,御桥馨华苑 ,2室1厅,80.69平米,南,6,2004,御桥,550,68
南北板式两房，户型正气，房东诚心出售,黄山始信苑 ,2室1厅,75.32平米,南,6,1999,金杨,640,84
杨思前滩+帝王楼层精装修+买进必旺,上南山水苑 ,2室2厅,86.72平米,南,6,2001,杨思前滩,588,67
陆家嘴精装有地暖，全明户型电梯房，采光好，视野佳，,东园三村小区 ,2室1厅,83.21平米,东南,26,1995,陆家嘴,790,94
此房满五，房龄新，小区中间位置无嫌恶设施，急售,莲泰苑 ,2室1厅,86.11平米,南,6,2005,北蔡,650,75
